phage,numprot,host
Enterobacteria phage RB55,274,Enterobacteria
Bacillus phage Bastille,274,Bacillus
Bacillus phage W.Ph.,274,Bacillus
Escherichia phage wV7,273,Escherichia
Synechococcus phage S-RIM2,273,Synechococcus
Escherichia phage slur08,273,Escherichia
Escherichia phage Lw1,273,Escherichia
Escherichia phage vB_EcoM_JS09,273,Escherichia
Bacillus phage B5S,272,Bacillus
Escherichia phage APCEc01,272,Escherichia
Bacillus phage vB_BanS-Tsamsa,272,Bacillus
Escherichia phage slur03,272,Escherichia
Escherichia phage slur14,272,Escherichia
Aeromonas phage phiAS4,271,Aeromonas
Sinorhizobium phage phiM9,271,Sinorhizobium
Enterobacteria phage 4MG,271,Enterobacteria
Enterobacteria phage vB_EcoM_VR5,271,Enterobacteria
Yersinia phage PST,271,Yersinia
Enterobacteria phage RB5,271,Enterobacteria
Bacillus phage BPS10C,271,Bacillus
Escherichia phage ECML-134,270,Escherichia
Escherichia coli O157 typing phage 3,270,Escherichia
Enterobacteria phage RB16,270,Enterobacteria
Bacillus phage Hoody T,270,Bacillus
Cronobacter phage PBES 02,270,Cronobacter
Escherichia coli O157 typing phage 7,269,Escherichia
Escherichia phage phAPEC8,269,Escherichia
Cronobacter phage CR8,269,Cronobacter
Escherichia phage HY03,269,Escherichia
Cronobacter phage vB_CsaM_GAP31,269,Cronobacter
Bacillus phage BPS13,268,Bacillus
Salmonella phage S16,268,Salmonella
Escherichia phage vB_EcoM-UFV13,268,Escherichia
Cronobacter phage S13,268,Cronobacter
Enterobacteria phage ime09,268,Enterobacteria
Shigella phage Shf125875,267,Shigella
Synechococcus phage S-SM2,267,Synechococcus
Enterobacteria phage SEGD1,267,Enterobacteria
Shigella phage pSs-1,266,Shigella
Enterobacteria phage JS98,266,Enterobacteria
Escherichia phage slur02,266,Escherichia
Escherichia phage slur07,266,Escherichia
Escherichia phage slur04,266,Escherichia
Escherichia phage slur11,266,Escherichia
Escherichia phage slur13,266,Escherichia
Shigella phage Shfl2,265,Shigella
Cronobacter phage CR3,265,Cronobacter
Enterobacteria phage JS10,265,Enterobacteria
Salmonella phage 38,265,Salmonella
Dickeya phage phiDP23.1,265,Dickeya
Salmonella phage SPN3US,264,Salmonella
Vibrio phage helene 12B3,263,Vibrio
Enterobacteria phage Bp7,263,Enterobacteria
Citrobacter phage IME-CF2,263,Citrobacter
Erwinia phage phiEaH2,262,Erwinia
Yersinia phage vB_YenM_TG1,262,Yersinia
Yersinia phage phiR1-RT,262,Yersinia
Escherichia phage PEC04,261,Escherichia
Synechococcus phage S-PM2,260,Synechococcus
Salmonella phage STP4-a,259,Salmonella
Dickeya phage phiDP10.3,259,Dickeya
Klebsiella phage KP15,258,Klebsiella
Campylobacter phage CP21,257,Campylobacter
Acinetobacter phage 133,257,Acinetobacter
Rhizobium phage vB_RleM_P10VF,257,Rhizobium
Acinetobacter phage ZZ1,256,Acinetobacter
Proteus phage vB_PmiM_Pm5461,256,Proteus
Salmonella phage STML-198,255,Salmonella
Escherichia phage HY01,255,Escherichia
Acinetobacter phage Ac42,255,Acinetobacter
Escherichia phage vB_EcoM_PhAPEC2,254,Escherichia
Aeromonas phage 44RR2.8t,254,Aeromonas
Vibrio phage vB_VmeM-32,254,Vibrio
Enterobacteria phage IME08,253,Enterobacteria
Acinetobacter phage Acj9,253,Acinetobacter
Staphylococcus phage 812,253,Staphylococcus
Vibrio phage CTX,251,Vibrio
Escherichia coli O157 typing phage 6,251,Escherichia
Synechococcus phage ACG-2014e,251,Synechococcus
Mycobacterium phage MiaZeal,250,Mycobacterium
Enterobacteria phage phi92,250,Enterobacteria
Vibrio phage eugene 12A10,250,Vibrio
Escherichia coli O157 typing phage 13,249,Escherichia
Bacillus phage BM15,248,Bacillus
Salmonella phage Felix O1 (isolate Felix O1-VT1),247,Salmonella
Aeromonas phage 31,247,Aeromonas
Prochlorococcus phage P-TIM68,246,Prochlorococcus
Klebsiella phage vB_KpnM_KB57,245,Klebsiella
Mycobacterium phage Ariel,245,Mycobacterium
Salmonella phage PVP-SE1,244,Salmonella
Aeromonas phage 25,244,Aeromonas
Ralstonia phage RSP15,244,Ralstonia
Bacillus phage Bobb,243,Bacillus
Aeromonas phage Aes012,243,Aeromonas
Pectobacterium phage phiTE,242,Pectobacterium
Stenotrophomonas phage vB_SmaS-DLP_6,242,Stenotrophomonas
Prochlorococcus phage P-HM2,242,Prochlorococcus
Mycobacterium phage Baka,242,Mycobacterium
Salmonella phage SSE-121,242,Salmonella
Mycobacterium phage Dandelion,241,Mycobacterium
Mycobacterium phage Gizmo,241,Mycobacterium
Mycobacterium phage Courthouse,241,Mycobacterium
Acinetobacter phage Acj61,241,Acinetobacter
Prochlorococcus phage P-HM1,241,Prochlorococcus
Erwinia phage PhiEaH1,241,Erwinia
Bacillus phage Grass,241,Bacillus
Mycobacterium phage Pio,240,Mycobacterium
Mycobacterium phage Wanda,240,Mycobacterium
Mycobacterium phage Pleione,239,Mycobacterium
Bacillus phage 0305phi8-36,239,Bacillus
Prochlorococcus phage P-RSM4,239,Prochlorococcus
Bacillus phage SP01,239,Bacillus
Bacillus phage vB_BceM-Bc431v3,238,Bacillus
Escherichia phage T5,238,Escherichia
Mycobacterium phage Minerva,238,Mycobacterium
Synechococcus phage S-RSM4,237,Synechococcus
Prochlorococcus phage P-SSM7,237,Prochlorococcus
Ralstonia phage RSL2,237,Ralstonia
Mycobacterium phage ArcherS7,237,Mycobacterium
Ralstonia phage RSF1,237,Ralstonia
Mycobacterium phage Omega,237,Mycobacterium
Shewanella sp. phage 1/40,236,Shewanella
Mycobacterium phage Breeniome,236,Mycobacterium
Deftia phage phiW-14,236,Deftia
Bacillus phage SP-10,236,Bacillus
Mycobacterium phage Shrimp,235,Mycobacterium
Shewanella sp. phage 1/4,235,Shewanella
Prochlorococcus phage Syn1,235,Prochlorococcus
Enterobacteria phage ECGD1,234,Enterobacteria
Bacillus phage TsarBomba,234,Bacillus
Synechococcus phage S-SM1,234,Synechococcus
Synechococcus phage metaG-MbCM1,234,Synechococcus
Mycobacterium phage Astraea,234,Mycobacterium
Mycobacterium phage Ava3,234,Mycobacterium
Mycobacterium phage Ghost,233,Mycobacterium
Mycobacterium phage Willis,233,Mycobacterium
Mycobacterium phage DTDevon,233,Mycobacterium
Mycobacterium phage Nappy,233,Mycobacterium
Escherichia phage rv5,233,Escherichia
Mycobacterium phage Sebata,233,Mycobacterium
Mycobacterium phage Zeenon,232,Mycobacterium
Mycobacterium phage Momo,232,Mycobacterium
Mycobacterium phage Drazdys,231,Mycobacterium
Synechococcus phage S-CAM1,231,Synechococcus
Bacillus phage Moonbeam,231,Bacillus
Cronobacter phage CR5,231,Cronobacter
Bacillus phage Eldridge,231,Bacillus
Mycobacterium phage Wally,231,Mycobacterium
Mycobacterium phage ZygoTaiga,231,Mycobacterium
Mycobacterium phage Redno2,231,Mycobacterium
Mycobacterium phage MoMoMixon,231,Mycobacterium
Vibrio phage ICP1,230,Vibrio
Synechococcus phage S-ShM2,230,Synechococcus
Vibrio phage ICP1_2001_A,230,Vibrio
Vibrio phage ICP1_2005_A,230,Vibrio
Aeromonas phage Aes508,230,Aeromonas
Mycobacterium phage Optimus,230,Mycobacterium
Mycobacterium phage LittleE,229,Mycobacterium
Mycobacterium phage LinStu,229,Mycobacterium
Bacillus phage Bcp1,229,Bacillus
Mycobacterium phage Myrna,229,Mycobacterium
Prochlorococcus phage Syn33,228,Prochlorococcus
Synechococcus phage syn9,228,Synechococcus
Pseudoalteromonas phage H101,228,Pseudoalteromonas
Vibrio phage qdvp001,228,Vibrio
Bacillus phage BCP78,227,Bacillus
Vibrio phage ICP1_2006_C,227,Vibrio
Mycobacterium phage Bxz1,227,Mycobacterium
Vibrio phage ICP1_2006_D,227,Vibrio
Mycobacterium phage LRRHood,226,Mycobacterium
Vibrio phage ICP1_2006_A,226,Vibrio
Staphylococcus phage P108,226,Staphylococcus
Vibrio phage ICP1_2006_B,226,Vibrio
Mycobacterium phage ErnieJ,226,Mycobacterium
Bacillus phage Deep Blue,226,Bacillus
Vibrio phage ICP1_2004_A,225,Vibrio
Synechococcus phage S-SSM5,225,Synechococcus
Bacillus phage BM5,224,Bacillus
Mycobacterium phage HyRo,224,Mycobacterium
Mycobacterium phage Spud,224,Mycobacterium
Mycobacterium phage Cali,224,Mycobacterium
Bacillus phage BCU4,223,Bacillus
Mycobacterium phage ScottMcG,223,Mycobacterium
Mycobacterium phage Rizal,222,Mycobacterium
Mycobacterium phage Alice,222,Mycobacterium
Bacillus phage Mater,222,Bacillus
Prochlorococcus phage P-SSM4,222,Prochlorococcus
Enterococcus phage phiEF24C,221,Enterococcus
Bacillus phage CP-51,221,Bacillus
Synechococcus phage ACG-2014h,221,Synechococcus
Synechococcus phage S-SSM4,221,Synechococcus
Bacillus phage BCP8-2,220,Bacillus
Rhodococcus phage E3,220,Rhodococcus
Enterococcus phage ECP3,220,Enterococcus
Mycobacterium phage Catera,220,Mycobacterium
Bacillus phage Shanette,220,Bacillus
Mycobacterium phage ET08,220,Mycobacterium
Escherichia phage 2 JES-2013,220,Escherichia
Escherichia phage APCEc02,219,Escherichia
Bacillus phage JL,218,Bacillus
Escherichia phage vB_EcoM_FFH2,218,Escherichia
Enterobacteria phage vB_EcoM-FV3,218,Enterobacteria
Staphylococcus phage JD007,217,Staphylococcus
Staphylococcus phage Team1,217,Staphylococcus
Synechococcus phage Syn19,216,Synechococcus
Shigella phage Ag3,216,Shigella
Mycobacterium phage Thibault,216,Mycobacterium
Synechococcus phage ACG-2014g,216,Synechococcus
Staphylococcus phage ISP,215,Staphylococcus
Synechococcus phage S-MbCM25,215,Synechococcus
Staphylococcus phage GH15,215,Staphylococcus
Prochlorococcus phage P-SSM3,215,Prochlorococcus
Escherichia coli O157 typing phage 4,215,Escherichia
Prochlorococcus phage MED4-213,215,Prochlorococcus
Staphylococcus phage K,214,Staphylococcus
Staphylococcus phage G1,214,Staphylococcus
Escherichia coli O157 typing phage 5,214,Escherichia
Synechococcus phage KBS-M-1A,213,Synechococcus
Staphylococcus phage A5W,212,Staphylococcus
Salmonella phage FSL SP-029,212,Salmonella
Staphylococcus phage Fi200W,212,Staphylococcus
Escherichia phage Murica,212,Escherichia
Staphylococcus phage 676Z,212,Staphylococcus
Staphylococcus phage IME-SA2,212,Staphylococcus
Synechococcus phage ACG-2014i,212,Synechococcus
Bacillus phage phiNIT1,212,Bacillus
Staphylococcus phage phiIPLA-RODI,212,Staphylococcus
Staphylococcus phage MSA6,212,Staphylococcus
Synechococcus phage S-RIM8 A.HR3,212,Synechococcus
Staphylococcus phage Staph1N,211,Staphylococcus
Synechococcus phage S-RIM8 A.HR1,211,Synechococcus
Bacillus phage Bp8p-T,211,Bacillus
Bacillus phage Bp8p-C,211,Bacillus
Staphylococcus phage P4W,211,Staphylococcus
Enterococcus phage EFDG1,210,Enterococcus
Synechococcus phage S-MbCM100,210,Synechococcus
Salmonella phage Det7,210,Salmonella
Synechococcus phage S-RIM2 R1_1999,210,Synechococcus
Synechococcus phage S-RIM2 R9_2006,210,Synechococcus
Salmonella phage vB_SalM_SJ3,209,Salmonella
Enterococcus phage EFLK1,209,Enterococcus
Staphylococcus phage IME-SA119,209,Staphylococcus
Staphylococcus phage IME-SA1,209,Staphylococcus
Escherichia phage PhaxI,209,Escherichia
Escherichia phage Av-05,209,Escherichia
Synechococcus phage S-IOM18,209,Synechococcus
Streptomyces phage Jay2Jay,209,Streptomyces
Vibrio phage VP4B,209,Vibrio
Vibrio phage PWH3a-P1,209,Vibrio
Synechococcus phage S-RIM2 R21_2007,208,Synechococcus
Salmonella phage SKML-39,208,Salmonella
Salmonella phage ViI,208,Salmonella
Staphylococcus phage phiSA012,207,Staphylococcus
Escherichia phage slur12,207,Escherichia
Campylobacter phage IBB35,207,Campylobacter
Escherichia phage slur16,206,Escherichia
Staphylococcus phage S25-3,206,Staphylococcus
Bacillus phage SIOphi,206,Bacillus
Salmonella phage FSL SP-063,205,Salmonella
Salmonella phage Marshall,205,Salmonella
Salmonella phage STML-13-1,205,Salmonella
Escherichia phage Cba120,204,Escherichia
Staphylococcus phage MCE-2014,204,Staphylococcus
Staphylococcus phage IME-SA118,204,Staphylococcus
Bacillus phage phiAGATE,204,Bacillus
Escherichia coli O157 typing phage 14,203,Escherichia
Synechococcus phage S-RIM8 A.HR5,203,Synechococcus
Klebsiella phage PKO111,203,Klebsiella
Staphylococcus phage phiIPLA-C1C,203,Staphylococcus
Stenotrophomonas phage IME-SM1,202,Stenotrophomonas
Bacillus phage JBP901,201,Bacillus
Bacillus phage CampHawk,201,Bacillus
Pseudomonas phage EL,201,Pseudomonas
Dickeya phage Limestone,201,Dickeya
Synechococcus phage S-CBS4,201,Synechococcus
Salmonella phage SFP10,201,Salmonella
Staphylococcus phage phiIBB-SEP1,200,Staphylococcus
Salmonella phage Maynard,200,Salmonella
Lactobacillus phage Lb338-1,199,Lactobacillus
Synechococcus phage S-CBM2,199,Synechococcus
Brochothrix phage A9,199,Brochothrix
Cellulophaga phage phi17:2,198,Cellulophaga
Gordonia phage Yvonnetastic,198,Gordonia
Cellulophaga phage phi17:2_18,198,Cellulophaga
Staphylococcus phage SA5,198,Staphylococcus
Serratia phage phiMAM1,198,Serratia
Escherichia phage ECML-4,198,Escherichia
Pelagibacter phage HTVC008M,198,Pelagibacter
Cellulophaga phage phi4:1_18,197,Cellulophaga
Cellulophaga phage phi4:1_13,197,Cellulophaga
Salmonella phage vB_SalM_SJ2,197,Salmonella
Cellulophaga phage phi4:1,197,Cellulophaga
Campylobacter phage CPt10,196,Campylobacter
Dickeya phage RC-2014,196,Dickeya
Listeria phage LMTA-57,196,Listeria
Vibrio phage 11895-B1,196,Vibrio
Staphylococcus phage Twort (strain DSM 17442),195,Staphylococcus
Listeria phage A511,195,Listeria
Clostridium botulinum C phage,195,Clostridium
Salmonella phage 19,194,Salmonella
Brevibacillus phage Sundance,194,Brevibacillus
Campylobacter phage CP220,194,Campylobacter
Staphylococcus phage A3R,193,Staphylococcus
Clostridium phage phiCD211,190,Clostridium
Dickeya phage phiD3,190,Dickeya
Lactococcus phage phiL47,189,Lactococcus
Listeria phage LMTA-94,189,Listeria
Listeria phage LP-125,189,Listeria
Listeria phage LP-083-2,189,Listeria
Listeria phage LP-064,188,Listeria
Escherichia phage phiE142,188,Escherichia
Listeria phage LP-124,188,Listeria
Bacillus phage SPbeta,188,Bacillus
Listeria phage LMSP-25,186,Listeria
Staphylococcus phage SA11,186,Staphylococcus
Microcystis aeruginosa phage Ma-LMM01,184,Microcystis
Staphylococcus phage S25-4,184,Staphylococcus
Brevibacillus phage SecTim467,183,Brevibacillus
Gordonia phage Bachita,182,Gordonia
Pseudomonas phage PAK_P1,181,Pseudomonas
Rhizobium phage vB_RleS_L338C,181,Rhizobium
Campylobacter phage CP81,181,Campylobacter
Enterobacteria phage lambda,181,Enterobacteria
Thermus phage phiYS40,179,Thermus
Mycobacterium phage Gaia,179,Mycobacterium
Gordonia phage ClubL,179,Gordonia
Gordonia phage Smoothie,179,Gordonia
Stenotrophomonas phage IME13,178,Stenotrophomonas
Brevibacillus phage Jenst,178,Brevibacillus
Listeria phage vB_LmoM_AG20,178,Listeria
Lactococcus phage WRP3,178,Lactococcus
Listeria phage LP-048,177,Listeria
Staphylococcus phage Stau2,177,Staphylococcus
Bacillus phage Shbh1,177,Bacillus
Listeria phage LMTA-148,177,Listeria
Pseudomonas phage PAK_P2,176,Pseudomonas
Pseudomonas phage K5,176,Pseudomonas
Pseudomonas phage K8,176,Pseudomonas
Staphylococcus phage vB_SauM_Remus,174,Staphylococcus
Pseudomonas phage PAK_P4,174,Pseudomonas
Enterobacteria phage Qbeta,174,Enterobacteria
Listeria phage List-36,174,Listeria
Listeria phage P100,174,Listeria
Pseudomonas phage vB_PaeM_C2-10_Ab08,173,Pseudomonas
Halocynthia phage JM-2012,173,Halocynthia
Pseudomonas phage phiPsa374,173,Pseudomonas
Pseudomonas phage PaoP5,173,Pseudomonas
Pseudomonas phage vB_PaeM_C2-10_Ab02,173,Pseudomonas
Pseudomonas phage VCM,172,Pseudomonas
Pseudomonas phage C11,172,Pseudomonas
Pseudomonas phage phiMK,172,Pseudomonas
Rhizobium phage RHEph10,171,Rhizobium
Microcystis phage MaMV-DC,170,Microcystis
Stx2 converting phage II,170,Escherichia
Escherichia phage Eps7,170,Escherichia
Pseudomonas phage vB_PsyM_KIL5,170,Pseudomonas
Vibrio phage 1,170,Vibrio
Thermus phage TMA,168,Thermus
Staphylococcus phage Sb-1,168,Staphylococcus
Escherichia Stx1 converting phage,167,Escherichia
Pseudomonas phage PaP1,167,Pseudomonas
Pseudomonas phage vB_PsyM_KIL4,167,Pseudomonas
Campylobacter phage NCTC12673,166,Campylobacter
Salmonella phage PhiSH19,166,Salmonella
Stx2 converting phage I,166,Escherichia
Lactobacillus phage LP65,165,Lactobacillus
Pseudomonas phage PAK_P3,165,Pseudomonas
Salmonella phage Stitch,165,Salmonella
Acinetobacter phage vB_AbaM_phiAbaA1,165,Acinetobacter
Pseudomonas phage P3_CHA,165,Pseudomonas
Pseudomonas phage CHA_P1,164,Pseudomonas
Pseudomonas phage PAK_P5,164,Pseudomonas
Staphylococcus phage vB_SauM_Romulus,164,Staphylococcus
Gordonia phage OneUp,163,Gordonia
Campylobacter phage CP30A,162,Campylobacter
Acinetobacter phage YMC13/03/R2096,162,Acinetobacter
Pseudomonas phage JG004,161,Pseudomonas
Pseudomonas phage vB_PsyM_KIL2,161,Pseudomonas
Pseudomonas phage vB_PsyM_KIL3b,161,Pseudomonas
Pseudomonas phage vB_PsyM_KIL3,161,Pseudomonas
Escherichia phage slur09,160,Escherichia
Escherichia phage Akfv33,160,Escherichia
Enterobacteria phage P1,160,Enterobacteria
Pseudomonas phage vB_PsyM_KIL1,159,Pseudomonas
Pseudomonas phage KPP10,158,Pseudomonas
Vibrio phage pVp-1,157,Vibrio
Pseudomonas phage vB_PaeM_C2-10_Ab1,157,Pseudomonas
Acinetobacter phage vB_AbaM_Acibel004,156,Acinetobacter
Escherichia phage vB_EcoS_FFH1,156,Escherichia
Pseudomonas phage vB_PaeM_PAO1_Ab03,155,Pseudomonas
Staphylococcus phage SPbeta-like,154,Staphylococcus
Klebsiella phage 0507-KN2-1,154,Klebsiella
Lactococcus phage 949,154,Lactococcus
Vibrio phage henriette 12B8,154,Vibrio
Salmonella phage Shivani,154,Salmonella
Mycobacterium phage Rey,153,Mycobacterium
Pseudomonas phage vB_PaeM_PS24,153,Pseudomonas
Yersinia phage phiR201,152,Yersinia
Salmonella phage 41,152,Salmonella
Salmonella phage 7-11,151,Salmonella
Escherichia phage APCEc03,151,Escherichia
Enterobacteria phage P22,151,Enterobacteria
Mycobacterium phage Quink,151,Mycobacterium
Mycobacterium phage Wildcat,150,Mycobacterium
Synechococcus phage S-CBP2,149,Synechococcus
Colwellia phage 9A,149,Colwellia
Campylobacter phage CPX,149,Campylobacter
Pectobacterium phage My1,149,Pectobacterium
Mycobacterium phage Cosmo,148,Mycobacterium
Salmonella phage NR01,148,Salmonella
Mycobacterium phage PhatBacter,148,Mycobacterium
Pseudomonas phage vB_PaeM_PAO1_Ab17,148,Pseudomonas
Mycobacterium phage Bask21,147,Mycobacterium
Mycobacterium phage Dumbo,147,Mycobacterium
Mycobacterium phage Mindy,147,Mycobacterium
Mycobacterium phage Porky,147,Mycobacterium
Campylobacter phage CP8,147,Campylobacter
Mycobacterium phage Nala,147,Mycobacterium
Mycobacterium phage HufflyPuff,146,Mycobacterium
Mycobacterium phage Murphy,146,Mycobacterium
Mycobacterium phage Rakim,145,Mycobacterium
Mycobacterium phage Phaux,145,Mycobacterium
Erwinia phage phiEa2809,145,Erwinia
Vibrio phage phi 3,145,Vibrio
Mycobacterium phage SirDuracell,145,Mycobacterium
Salmonella phage Spc35,145,Salmonella
Mycobacterium phage Eureka,145,Mycobacterium
Mycobacterium phage DrDrey,144,Mycobacterium
Nitrincola phage 1M3-16,144,Nitrincola
Mycobacterium phage Henry,143,Mycobacterium
Mycobacterium phage Elph10,143,Mycobacterium
Mycobacterium phage Kostya,143,Mycobacterium
Mycobacterium phage Goku,143,Mycobacterium
Mycobacterium phage Pumpkin,143,Mycobacterium
Mycobacterium phage ABCat,143,Mycobacterium
Mycobacterium phage NoSleep,143,Mycobacterium
Mycobacterium phage TeardropMSU,143,Mycobacterium
Staphylococcus phage 6ec,142,Staphylococcus
Mycobacterium phage Dusk,142,Mycobacterium
Citrobacter phage Michonne,142,Citrobacter
Mycobacterium phage 244,142,Mycobacterium
Planktothrix phage PaV-LD,142,Planktothrix
Mycobacterium phage Bruin,141,Mycobacterium
Mycobacterium phage Ukulele,141,Mycobacterium
Mycobacterium phage Phrux,141,Mycobacterium
Mycobacterium phage Cjw1,141,Mycobacterium
Mycobacterium phage Mosby,141,Mycobacterium
Mycobacterium phage Lilac,140,Mycobacterium
Mycobacterium phage Toto,140,Mycobacterium
Mycobacterium phage Contagion,140,Mycobacterium
Bacillus phage BCD7,140,Bacillus
Escherichia phage wV8,140,Escherichia
Mycobacterium phage Bricole,139,Mycobacterium
Mycobacterium phage NelitzaMV,139,Mycobacterium
Escherichia phage phiSUSP1,139,Escherichia
Mycobacterium phage PegLeg,138,Mycobacterium
Citrobacter phage Mordin,138,Citrobacter
Bacillus phage Basilisk,138,Bacillus
Mycobacterium phage Fezzik,137,Mycobacterium
Escherichia phage EC6,136,Escherichia
Mycobacterium phage Bipper,135,Mycobacterium
Enterobacteria phage CUS-3,134,Enterobacteria
Cellulophaga phage phi14:2,133,Cellulophaga
Enterobacteria phage DT57C,133,Enterobacteria
Enterobacteria phage DT571/2,133,Enterobacteria
Escherichia coli O157 typing phage 8,133,Escherichia
Mycobacterium phage Crossroads,133,Mycobacterium
Escherichia coli O157 typing phage 11,132,Escherichia
Escherichia coli O157 typing phage 12,132,Escherichia
Escherichia phage vB_EcoM-VpaE1,132,Escherichia
